kanji;hirakata;romaji;mean
;あかるい;Akarui;Bright
;あまい;Amai;Sweet
雨;あめ;Ame;Rain ☔️
;あなた;Anata;You
;ありがとうございます;Arigatou gozaimasu;Thank you
;あるく;Aruku;To walk
;あさ;Asa;Morning
明日;あした;Ashita;Tomorrow
;あたたかい;Atatakai;Warm
;あつい;Atsui;Hot
;バスケットボール;Basukettobooru;Basketball
豚;ぶた;Buta;Pig
土曜日;どようび;Doyoubi;Saturday
;えいが;Eiga;Movie
月曜日;げつようび;Getsuyoubi;Monday
五;ご;Go;Five
五月;ごがつ;Gogatsu;May
;ごはん;Gohan;Rice / Meal
;ごめんなさい;Gomennasai;Sorry
;はち;Hachi;Eight
;はちがつ;Hachigatsu;August
;はい;Hai;Yes
;はなす;Hanasu;To talk / speak
晴れ;はれ;Hare;Sun ☀️
;はしる;Hashiru;To run
;はやい;Hayai;Fast / Early
火;ひ;Hi;Fire 🔥
日;ひ;Hi;Sun ☀️
;ひくい;Hikui;Low
;ひる;Hiru;Noon
本棚;ほんだな;Hondana;Bookshelf
一;いち;Ichi;One
一月;いちがつ;Ichigatsu;January
;いいえ;Iie;No
今;いま;Ima;Now
;いもうと;Imouto;Younger sister
犬;いぬ;Inu;Dog 🐕
;いそがしい;Isogashii;Busy
;いう;Iu;To say
十;じゅう;Juu;Ten
十月;じゅうがつ;Juugatsu;October
十一月;じゅういちがつ;Juuichigatsu;November
十二月;じゅうにがつ;Juunigatsu;December
;かく;Kaku;To write
雷;かみなり;Kaminari;Storm ⛈️
;かなしい;Kanashii;Sad
金;かね;Kane;Money 💰
;からい;Karai;Hot / Spicy
;かわいい;Kawaii;Cute
火曜日;かようび;Kayoubi;Tuesday
聞きます;ききます;Kikimasu;Listen
聞く;きく;Kiku;To listen
昨日;きのう;Kinou;Yesterday
金曜日;きんようび;Kinyoubi;Friday
;こんばんは;Konbanwa;Good evening
;こんにちは;Konnichiwa;Good afternoon
;この;Kono;This
九月;くがつ;Kugatsu;September
;くもり;Kumori;Cloud ☁️
;くらい;Kurai;Dark
空気;くうき;Kuuki;Air
今日;きよう;Kyou ;Today
;きゅう;Kyuu;Nine
;またあした!;Mataashita;See you tomorrow!
;まずい;Mazui;Awful
道;みち;Michi;Road
見ます;みます;Mimasu;Watch
;みる;Miru;To see
水;みず;Mizu;Water / Cold Water
木曜日;もくようび;Mokuyoubi;Thursday
二;に;Ni;Two
;にちようび;Nichiyoubi;Sunday
;にがい;Nigai;Bitter
;にがつ;Nigatsu;February
日本;にほん;Nihon;Japan
;にく;Niku;Meat
;ニュース;Niyuusu;News
;のみもの;Nomimono;Drinks
;のむ;Nomu;To drink
お箸;おはし;Oashi;Sticks 🥢
;おばあさん;Obaasan;Grandmother
;おばさん;Obasan;Aunt
お茶;おちゃ;Ocha;Tea 🍵
;おげんきですか;Ogenkidesuka;How are you?
;おはようございます;Ohayou gozaimasu;Good morning
;おいしい;Oishii;Delicious / Tasty
;おじいさん;Ojiisan;Grandfather
;おじさん;Ojisan;Uncle
;おかあさん;Okaasan;Mother
;おもしろい;Omoshiroi;Funny
;おねえさん;Oneesan;Older sister
;おにぎり;Onigiri;Rice Ball
;おにいさん;Oniisan;Older brother
お酒;おさけ;Osake;Sake 🍶
;おそい;Osoi;Slow
;おとうさん;Otousan;Father
;おとうと;Otouto;Younger brother
;おやすみなさい;Oyasuminasai;Goodnight
;おゆ;Oyu;Hot Water
;ラーメン;Raamen;Noodle Dish
六;ろく;Roku;Six
六月;ろくがつ;Rokugatsu;June
;さかな;Sakana;Fish
三;さん;San;Three
三月;さんがつ;Sangatsu;March
洗濯する;せんたくする;Sentaku suru;Wash 🫧
四;し / よん;Shi/Yon;Four
七;しち/なな;Shichi;Seven
七月;しちがつ;Shichigatsu;July
四月;しがつ;Shigatsu;April
;します;Shimasu;Play
静か;しずか;Shizuka;Quiet
;しょっぱい;Shoppai;Salty 🧂
空;そら;Sora;Sky (That you can see)
水曜日;すいようび;Suiyoubi;Wednesday
;すみません;Sumimasen;Excuse me / sorry
;すっぱい;Suppai;Sour
;する;Suru;To do
;すし;Sushi;Sushi
;すわる;Suwaru;To sit
;たべもの;Tabemono;Food
;たべる;Taberu;To eat
;たかい;Takai;High / Expensive
;たこ;Tako;Octopus 🐙
たこ焼き;たこやき;Takoyaki;Ball-shaped snack 🐙
卵焼き/玉子焼き;たまごやき;Tamagoyaki;Grilled egg 🍳
;たのしい;Tanoshii;Happy
;たつ;Tatsu;To stand
天;てん;Ten;Sky (Spiritual)
天気;てんき;Tenki;Weather
天気はどうですか;てんきはどうですか;Tenkiwadoudesuka;What’s the weather like?
;ときどき;Tokidoki;Sometimes
東京;とうきょう;Toukyou;Tokyo
土;つち;Tsuchi;Ground
月;つき;Tsuki;Moon 🌙
;つめたい;Tsumetai;Cold
私;わたし;Watashi;I / me
;やさい;Yasai;Vegetable
;やさしい;Yasashii;Nice
;やすい;Yasui;Cheap
;よく;Yoku;Often
;よる;Yoru;Night
雪;ゆき;Yuki;Snow ❄️
;ゆうがた;Yuugata;Evening
